InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5702968,1/26/15 0:00,1,PASS,TACOS AND TORTAS LAS LLARDAS,10950 BISSONNET STE A 290,77099,Restaurant - Single Service,MEXICAN / HISPANIC,0,MEDIUM
5703361,1/28/15 0:00,2,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5702967,1/26/15 0:00,1,PASS,TACOS AND TORTAS LAS LLARDAS,10950 BISSONNET STE A 290,77099,Restaurant - Single Service,MEXICAN / HISPANIC,0,MEDIUM
5703357,1/28/15 0:00,1,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5700608,1/7/15 0:00,2,PASS,TONY'S SEAFOOD & MORE,8615 TIDWELL STE G,77028,Restaurant - Single Service,CHINESE,2,LOW
5701283,1/12/15 0:00,1,PASS,MENCHIE'S FROZEN YOGURT #7,5310 WESLAYAN,77005,Restaurant - Single Service,DESSERTS,3,MEDIUM
5701567,1/13/15 0:00,1,PASS,YIIN'S ORIENTAL WOK,5842 MARTIN LUTHER KING,77021,Restaurant - Single Service,CHINESE,7,MEDIUM
5701512,1/13/15 0:00,1,PASS,SMOOTHIE KING,6020 WESTHEIMER,77057,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5703201,1/27/15 0:00,1,PASS,SUBWAY # 38181,15015 WESTHEIMER RD STE C,77082,Restaurant - Single Service,SANDWICHES,5,HIGH
5721635,1/29/15 0:00,1,PASS,DOMINO'S PIZZA #6644,4319 KINGWOOD  DR,77339,Restaurant - Single Service,PIZZA,5,HIGH
5721851,1/30/15 0:00,2,PASS,TIMMY CHAN'S,7625 W BELLFORT,77071,Restaurant - Single Service,,8,HIGH
5702727,1/22/15 0:00,1,PASS,OUT TO LUNCH CAFE & DELI,1980 POST OAK STE B001,77056,Restaurant - Single Service,,6,MEDIUM
5721696,1/29/15 0:00,4,FAIL,POPEYE'S  #58,505 W LITTLE YORK,77091,Restaurant - Single Service,CHICKEN,4,MEDIUM
5700637,1/7/15 0:00,1,PASS,SOPHI CAFE,505 N SAM HOUSTON PKWY E,77060-4018,Restaurant - Single Service,LOCAL / CONTINENTAL,7,HIGH
5701067,1/9/15 0:00,1,PASS,MT PILGRIM BAPTIST CHURCH,908 1/2 E 32ND,77022,Restaurant - Single Service,,0,MEDIUM
5701895,1/15/15 0:00,1,PASS,MELKAM QEN,13831 NORTHWEST FWY STE 188,77040,Restaurant - Single Service,"BEVERAGES, ETC.",7,HIGH
5702063,1/16/15 0:00,3,FAIL,DAIRY QUEEN,703 LITTLE YORK,77076,Restaurant - Single Service,,7,HIGH
5702306,1/20/15 0:00,1,PASS,AMILLES COFFEE,777 WALKER STE T245,77002,Restaurant - Single Service,"BEVERAGES, ETC.",1,LOW
5701991,1/15/15 0:00,5,FAIL,WHICH WICH STORE 102,9758 KATY FWY STE 200,77055,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5721688,1/29/15 0:00,1,PASS,POPEYE'S  #58,505 W LITTLE YORK,77091,Restaurant - Single Service,CHICKEN,4,MEDIUM
5700517,1/7/15 0:00,3,PASS,BAMBU DESSERTS & DRINKS,3825 RICHMOND,77027,Restaurant - Single Service,,0,MEDIUM
5700889,1/7/15 0:00,1,PASS,NIKO-NIKO'S RESTAURANT,2520 MONTROSE BLVD,77006,Restaurant - Single Service,GREEK,7,HIGH
5701208,1/12/15 0:00,1,PASS,CITILINE DELI #12,1430 ENCLAVE PKWY STE 110,77077,Restaurant - Single Service,,5,HIGH
5703426,1/28/15 0:00,1,PASS,ALAMO TAMALE & TACO # 2,2310 NAVIGATION,77003,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5722355,1/29/15 0:00,1,PASS,MANDOLA'S DELI & SANDWICH SHOP,4105 LEELAND,77023,Restaurant - Single Service,DELI,0,MEDIUM
5700404,1/7/15 0:00,2,PASS,ALONTI DELI # 8,9 GREENWAY PLAZA STE C-20,77046,Restaurant - Single Service,DELI,7,MEDIUM
5701027,1/9/15 0:00,1,PASS,OPORTO CAFE,3833 RICHMOND,77027,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5701815,1/15/15 0:00,3,PASS,SUBWAY SANDWICH #47111,802 MILAM STE 103,77002,Restaurant - Single Service,SANDWICHES,4,MEDIUM
5702731,1/22/15 0:00,1,PASS,OUT TO LUNCH CAFE & DELI,1980 POST OAK STE B001,77056,Restaurant - Single Service,,6,MEDIUM
5703198,1/27/15 0:00,1,PASS,SUBWAY # 38181,15015 WESTHEIMER RD STE C,77082,Restaurant - Single Service,SANDWICHES,5,HIGH
5701029,1/9/15 0:00,1,PASS,OPORTO CAFE,3833 RICHMOND,77027,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5702587,1/21/15 0:00,1,PASS,BURNS ORIGINAL BAR-B-QUE SINCE 1973,8307 1/2 DE PRIEST ST,77088-6215,Restaurant - Single Service,BARBECUE,0,MEDIUM
5721723,1/29/15 0:00,1,PASS,CHILE AND LIME REFRESQUERIA,10812 W BELLFORT,77099,Restaurant - Single Service,MEXICAN / HISPANIC,6,LOW
5701456,1/13/15 0:00,1,PASS,KENTUCKY FRIED CHICKEN # W150635,1712 KINGWOOD  DR,77339,Restaurant - Single Service,CHICKEN,6,MEDIUM
5700211,1/6/15 0:00,2,PASS,TAQUERIA EL CHARRO,6810 N SHEPHERD,77091,Restaurant - Single Service,MEXICAN / HISPANIC,6,MEDIUM
5702155,1/12/15 0:00,1,PASS,ROTISSERIE & GRILL,1225 N LOOP WEST STE 118,77008,Restaurant - Single Service,DELI,6,HIGH
5702807,1/23/15 0:00,2,PASS,ORIGINAL TIMMY CHAN'S,4208 W FUQUA,77045,Restaurant - Single Service,CHINESE,7,MEDIUM
5722353,1/29/15 0:00,1,PASS,MANDOLA'S DELI & SANDWICH SHOP,4105 LEELAND,77023,Restaurant - Single Service,DELI,0,MEDIUM
5700099,1/5/15 0:00,1,PASS,POST OAK FAST STOP,14120 S POST OAK RD,77045,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5702641,1/22/15 0:00,1,PASS,WINGSTOP,174 YALE STE 600,77007,Restaurant - Single Service,CHICKEN,5,MEDIUM
5699966,1/5/15 0:00,1,PASS,HANDI PLUS,10714 HIRSCH RD,77016,Restaurant - Single Service,,0,MEDIUM
5701491,1/13/15 0:00,1,PASS,NU ICE AND DRINKS,5901 WESTHEIMER RD STE B1,77057,Restaurant - Single Service,"BEVERAGES, ETC.",2,LOW
5702579,1/21/15 0:00,2,PASS,SKYLINE DELI,1301 TRAVIS,77002,Restaurant - Single Service,DELI,0,MEDIUM
5703224,1/27/15 0:00,1,PASS,PINK'S PIZZA,710 W GRAY,77019,Restaurant - Single Service,PIZZA,6,HIGH
5721725,1/29/15 0:00,1,PASS,CHILE AND LIME REFRESQUERIA,10812 W BELLFORT,77099,Restaurant - Single Service,MEXICAN / HISPANIC,6,LOW
5699969,1/5/15 0:00,1,PASS,HANDI PLUS,10714 HIRSCH RD,77016,Restaurant - Single Service,,0,MEDIUM
5700459,1/7/15 0:00,1,PASS,SONIC DRIVE-IN # 1126,7500 W TIDWELL RD,77040,Restaurant - Single Service,,6,HIGH
5701318,1/12/15 0:00,2,PASS,KENTUCKY FRIED CHICKEN # W150635,1712 KINGWOOD  DR,77339,Restaurant - Single Service,CHICKEN,6,MEDIUM
5701494,1/13/15 0:00,2,PASS,NU ICE AND DRINKS,5901 WESTHEIMER RD STE B1,77057,Restaurant - Single Service,"BEVERAGES, ETC.",2,LOW
