InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5699976,1/5/15 0:00,1,PASS,SUNRISE TAQUITOS MEXICAN GRILL MEMORIAL,5601 MEMORIAL DR,77007,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5702682,1/22/15 0:00,1,PASS,SUPREME SANDWICH SHOP,2752 W TC JESTER,77018,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5749837,2/13/15 0:00,1,PASS,WHATABURGER #271,3712 S SHEPHERD,77098,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5750630,2/19/15 0:00,1,PASS,WHATABURGER #550,7001 NORTH LOOP EAST,77028,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5750795,2/20/15 0:00,1,PASS,WHATABURGER #270,6705 FONDREN,77036,Restaurant - Single Service,"BURGERS, ETC.",8,MEDIUM
5752069,3/2/15 0:00,1,PASS,SUPER SANDWICHES,7303 BREEN RD,77086,Restaurant - Single Service,DELI,4,MEDIUM
5750641,2/19/15 0:00,1,PASS,TORCHY'S TACOS,350 W 19TH ST STE A,77008,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
5700109,1/5/15 0:00,2,PASS,WHATABURGER #264,6914 HARRISBURG,77011,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5751877,2/27/15 0:00,3,FAIL,MCDONALD'S,100 E CROSSTIMBERS,77022,Restaurant - Single Service,,7,HIGH
5757401,3/25/15 0:00,2,PASS,WHATABURGER # 733,6888 GULF  FWY STE 200,77087,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5750792,2/20/15 0:00,1,PASS,WHATABURGER #270,6705 FONDREN,77036,Restaurant - Single Service,"BURGERS, ETC.",8,MEDIUM
5751940,2/28/15 0:00,3,PASS,WHATABURGER #120,4545 NORTH  FWY,77022,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5751939,2/28/15 0:00,1,PASS,WHATABURGER #120,4545 NORTH  FWY,77022,Restaurant - Single Service,"BURGERS, ETC.",7,MEDIUM
5751938,2/28/15 0:00,1,PASS,WHATABURGER #266,3639 WESTHEIMER RD,77027,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5756319,3/19/15 0:00,1,PASS,WHATABURGER #278,11027 FUQUA,77089,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5753350,3/9/15 0:00,1,PASS,WHATABURGER #89,905 NORTH LOOP WEST,77008,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5750553,2/17/15 0:00,1,PASS,WHATABURGER #196,1718 WEST LOOP NORTH,77008,Restaurant - Single Service,,5,MEDIUM
5751867,2/27/15 0:00,1,PASS,MCDONALD'S,100 E CROSSTIMBERS,77022,Restaurant - Single Service,,7,HIGH
5757400,3/25/15 0:00,1,PASS,WHATABURGER # 733,6888 GULF  FWY STE 200,77087,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5700989,1/9/15 0:00,1,PASS,WHATABURGER #141,8941 LONG POINT,77055,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5702891,1/23/15 0:00,1,PASS,ALMEDA SKATE CENTER,10750 ALMEDA GENOA,77034,Restaurant - Single Service,,0,MEDIUM
5753353,3/9/15 0:00,1,PASS,WHATABURGER #89,905 NORTH LOOP WEST,77008,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5752073,3/2/15 0:00,1,PASS,SUPER SANDWICHES,7303 BREEN RD,77086,Restaurant - Single Service,DELI,4,MEDIUM
5750643,2/19/15 0:00,1,PASS,TORCHY'S TACOS,350 W 19TH ST STE A,77008,Restaurant - Single Service,MEXICAN / HISPANIC,7,HIGH
5701775,1/15/15 0:00,1,PASS,SUB ROC,3355 W ALABAMA STE 120,77027,Restaurant - Single Service,DELI,4,MEDIUM
5721810,1/30/15 0:00,1,PASS,MURPHY'S DELI AT ST LUKE'S,6624 FANNIN,77030,Restaurant - Single Service,DELI,7,HIGH
5751621,2/26/15 0:00,1,PASS,PAPA MURPHY'S PIZZA,4562 KINGWOOD DR,77345,Restaurant - Single Service,PIZZA,3,MEDIUM
5752878,3/5/15 0:00,1,PASS,BBVA COMPASS CAFETERIA,2200  POST OAK BLVD STE 1601,77056,Restaurant - Single Service,LOCAL / CONTINENTAL,9,HIGH
5702466,1/21/15 0:00,1,PASS,POPEYE'S #31,12436 BISSONNET,77099,Restaurant - Single Service,CHICKEN,8,MEDIUM
5754115,3/12/15 0:00,1,,HCC CENTRAL COLLEGE,1300 HOLMAN ST,77004,Restaurant - Single Service,,0,LOW
5754175,3/13/15 0:00,1,PASS,SUBWAY SANDWICHES,14515 KATY FWY STE 200,77079,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5751250,2/23/15 0:00,3,FAIL,MURPHY'S DELI AT ST LUKE'S,6624 FANNIN,77030,Restaurant - Single Service,DELI,7,HIGH
5751889,2/27/15 0:00,2,PASS,PIZZA L'VINO,544 WAUGH DR STE 544,77019,Restaurant - Single Service,PIZZA,3,MEDIUM
