InspectionUID,FacilityHashID,InspectionDate,InpsectionHashID,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5701314,03D2523C-940C-4D66-C95D70B09A345C0B,1/13/19 0:00,BEDE7400-5056-A20B-FA0BB07AC12B32D7,PHO HUNG,10800 BELLAIRE STE B,77072,Restaurant - Full Service,,0,HIGH
5729232,03AED092-3048-9838-601B34445C5A677C,2/11/19 0:00,8BBFBEF8-5056-A20B-FAF100021D3BB6CF,JACK IN THE BOX #4767,3415 NAVIGATION  BLVD,77003,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5700635,03FFE98F-92F7-7DF5-2811F26675987471,1/8/19 0:00,BF414C7F-5056-A20B-FA4373E19F40004A,CHINA BORDER RESTAURANT,10718 NORTH FRWY,77037-1130,Restaurant - Full Service,,8,HIGH
5702462,03FFE98F-92F7-7DF5-2811F26675987471,1/22/19 0:00,8D90823C-5056-A20B-FA055649C85CB1D4,CHINA BORDER RESTAURANT,10718 NORTH FRWY,77037-1130,Restaurant - Full Service,,8,HIGH
5757505,0362AA29-EA0E-42A6-0CA7B7593BDA4B65,3/27/19 0:00,66C9B377-5056-A20B-FA751A1B81D1066D,BONJOUR CREPERIE-DIANA'S,1311 LEELAND ST,77002,"Mobile - Conventional, Unrestricted, Motorized",,2,LOW
5700855,035C747E-0CD5-6E29-542643A0E09F80B7,1/8/19 0:00,EF7DB65D-5056-A20B-FAD26E9873BD5F7C,MAX'S WINE DIVE AND FLOW,214 FAIRVIEW ST STE 2,77006,Restaurant - Full Service,,0,LOW
5749884,03F85BE4-F839-2C23-7ED484EC753C57CD,2/13/19 0:00,32AF3304-5056-A20B-FA2113CB62A45A56,STEPH'S TEXAS BURGERS,4440 GALVESTON RD,77017,Restaurant - Single Service,"BURGERS, ETC.",3,MEDIUM
5700853,035C747E-0CD5-6E29-542643A0E09F80B7,1/8/19 0:00,EF545DA5-5056-A20B-FABD015F5405758F,MAX'S WINE DIVE AND FLOW,214 FAIRVIEW ST STE 2,77006,Restaurant - Full Service,,0,LOW
5701112,03E42832-BB7C-FDA5-CF4FD020EB275D13,1/10/19 0:00,254642BF-5056-A20B-FA39FB33DB975A18,TORTILLERIA  LA SALMANTINA,1333 N GESSNER STE A,77055,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5702637,03FFE98F-92F7-7DF5-2811F26675987471,1/22/19 0:00,B91999FA-5056-A20B-FAC339A60976A3BE,CHINA BORDER RESTAURANT,10718 NORTH FRWY,77037-1130,Restaurant - Full Service,,8,HIGH
5701196,03E42832-BB7C-FDA5-CF4FD020EB275D13,1/10/19 0:00,AF8101E4-5056-A20B-FA84ADC838BA0281,TORTILLERIA  LA SALMANTINA,1333 N GESSNER STE A,77055,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5750111,02FEBC5D-C35A-C1A9-309F711389EE58F3,2/18/19 0:00,F1AAF14A-5056-A20B-FA115F1B02FB392F,AJ SANDWICH,2646 SOUTH LOOP WEST STE 170,77054,Restaurant - Single Service,DELI,5,MEDIUM
5701116,030253B8-9B80-EE2A-A67F8FB322A63481,1/10/19 0:00,25D73F8C-5056-A20B-FA646CF1CDCF25A7,TAQUERIA DONA DORA-SOUTHWEST,12602 BELLAIRE BLVD,77072,"Mobile - Conventional, Unrestricted , Non-motorized",,6,HIGH
5757015,039EE82F-5056-A20B-FA84019AFC3C84EB,3/25/19 0:00,04317FB6-5056-A20B-FA430BEB15C57061,TAQUERIA LOS JALISCIENSES #10,4325 IRVINGTON  BLVD,77009-4047,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5750112,02FEBC5D-C35A-C1A9-309F711389EE58F3,2/18/19 0:00,F1B8BDA1-5056-A20B-FAE61609C84668D7,AJ SANDWICH,2646 SOUTH LOOP WEST STE 170,77054,Restaurant - Single Service,DELI,5,MEDIUM
5729065,0492F59D-02A0-DB87-13866F5095786366,2/10/19 0:00,5EEF675A-5056-A20B-FAD10697323DE4EA,JACK IN THE BOX #4766,7533  HARRISBURG BLVD,77012,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5750773,1142,2/21/19 0:00,8F891F4A-5056-A20B-FA9DCE9EE496A033,CARRABBA'S,3115 KIRBY DR,77098,Restaurant - Full Service,ITALIAN,7,HIGH
5753422,04D1EE06-C6B7-E96C-0912A5F4BA6B9F96,3/10/19 0:00,0ADA7521-5056-A20B-FAEF62063AECF1D1,NICEY'S,8601 MARTIN LUTHER KING BLVD STE B,77033,Restaurant - Full Service,LOCAL / CONTINENTAL,6,HIGH
5753709,04BA1B3E-AE9B-6DC3-E5B984409063A4FA,3/12/19 0:00,5F1E6E3B-5056-A20B-FA09D464DB3D801B,TAQUERIA CASTILLO 1 - El Guero,930 EDGEBROOK,77034,"Mobile - Conventional, Unrestricted, Motorized",,5,HIGH
5729070,0492F59D-02A0-DB87-13866F5095786366,2/10/19 0:00,5F7E9BEF-5056-A20B-FA2033E159A0E411,JACK IN THE BOX #4766,7533  HARRISBURG BLVD,77012,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5750779,1142,2/21/19 0:00,9014945A-5056-A20B-FAD064833247BC59,CARRABBA'S,3115 KIRBY DR,77098,Restaurant - Full Service,ITALIAN,7,HIGH
5699857,1141,1/3/19 0:00,B888CC17-5056-A20B-FA68CA8D53F38AE8,BECK'S PRIME,2902 KIRBY,77098,Restaurant - Full Service,"BURGERS, ETC.",7,HIGH
