InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5700638,1/7/15 0:00,1,PASS,LA MADELEINE FRENCH BAKERY,6205 KIRBY DR,77005,Restaurant - Full Service,FRENCH,8,HIGH
5701377,1/12/15 0:00,1,PASS,CULVER'S OF KINGWOOD,331 NORTHPARK DR,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,0,HIGH
5701645,1/14/15 0:00,1,PASS,CORELLI'S ITALIAN CAFE,5640 WESTHEIMER,77056,Restaurant - Full Service,ITALIAN,7,HIGH
5701776,1/15/15 0:00,1,PASS,SARA'S TAQUERIA,1302 LORRAINE ST,77009-8736,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5702046,1/15/15 0:00,1,PASS,PAPPAS BAR-B-Q,4430 NORTH  FWY,77022,Restaurant - Full Service,BARBECUE,8,HIGH
5724596,1/29/15 0:00,1,PASS,GREAT KHAN MONGOLIAN GRILL,2150 S HIGHWAY 6 STE 200,77077,Restaurant - Full Service,,0,HIGH
5699991,1/5/15 0:00,1,PASS,CUE'S BURGER AND MORE,10423 S POST OAK  RD,77035,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5700235,1/6/15 0:00,1,PASS,LA TAPATIA TAQUERIA,3965 S GESSNER,77063,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701890,1/15/15 0:00,3,FAIL,TAQUERIA Y RESTAURANT LA JALISCIENSE 2,7477 N SHEPHERD DR,77091,Restaurant - Full Service,MEXICAN / HISPANIC,0,HIGH
5703244,1/27/15 0:00,2,PASS,OSTIONERIA HUETAMICH,10369 CLUB CREEK,77036,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5703260,1/27/15 0:00,1,PASS,HUNAN GARDEN,4331 KINGWOOD DR,77339,Restaurant - Full Service,,0,HIGH
5701942,1/15/15 0:00,4,FAIL,TABLE 7 BISTRO,720 FANNIN ST STE A,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,5,HIGH
5721751,1/29/15 0:00,1,PASS,BROWN SUGARS BBQ,111 GREENS RD,77060,Restaurant - Full Service,BARBECUE,0,LOW
5702848,1/23/15 0:00,2,PASS,ZOE'S KITCHEN,12850 MEMORIAL DR STE 1120,77024,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5703389,1/27/15 0:00,1,,HOUSTON COUNTRY CLUB KITCHEN,1 POTOMAC,77057,Restaurant - Full Service,,0,HIGH
5703479,1/27/15 0:00,1,PASS,THAI LANNA RESTAURANT,1714 WEST LOOP NORTH,77008,Restaurant - Full Service,THAI,7,HIGH
5702839,1/23/15 0:00,1,PASS,ZOE'S KITCHEN,12850 MEMORIAL DR STE 1120,77024,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5699987,1/5/15 0:00,1,PASS,CUE'S BURGER AND MORE,10423 S POST OAK  RD,77035,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5700187,1/6/15 0:00,1,PASS,THE SALVATION ARMY KITCHEN,2600 ALDINE WESTFIELD,77093,Restaurant - Full Service,,9,HIGH
5700234,1/6/15 0:00,1,PASS,LA TAPATIA TAQUERIA,3965 S GESSNER,77063,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5699817,1/2/15 0:00,1,PASS,EXXON RESEARCH CAFETERIA,3120 BUFFALO SPEEDWAY,77027,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5700180,1/6/15 0:00,3,FAIL,GOLDEN CORRAL RESTAURANT #625,13145 NORTHWEST  FWY,77040,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5701311,1/12/15 0:00,3,FAIL,TAQUERIA DE JALISCO RESTAURANT NO 1,15818 S POST OAK,77053,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701831,1/15/15 0:00,2,PASS,REGINELLI'S,12389 KINGSRIDE LN,77024,Restaurant - Full Service,ITALIAN,6,HIGH
5701867,1/15/15 0:00,1,PASS,TAQUERIA Y RESTAURANT LA JALISCIENSE 2,7477 N SHEPHERD DR,77091,Restaurant - Full Service,MEXICAN / HISPANIC,0,HIGH
5701908,1/15/15 0:00,1,PASS,THE OLIVE GARDEN #1074,1010 OLD SPANISH TRAIL,77054,Restaurant - Full Service,ITALIAN,7,HIGH
5702004,1/16/15 0:00,3,FAIL,GOLDEN STAR,7840 W TIDWELL RD,77040,Restaurant - Full Service,CHINESE,9,HIGH
5703258,1/27/15 0:00,1,PASS,HUNAN GARDEN,4331 KINGWOOD DR,77339,Restaurant - Full Service,,0,HIGH
5703383,1/27/15 0:00,1,,HOUSTON COUNTRY CLUB KITCHEN,1 POTOMAC,77057,Restaurant - Full Service,,0,HIGH
5703014,1/26/15 0:00,1,PASS,DON TEO'S,2026 W 34TH ST N,77018,Restaurant - Full Service,MEXICAN / HISPANIC,5,MEDIUM
5699837,1/2/15 0:00,1,PASS,QUAN YIN VEGETARIAN,10804 BELLAIRE BLVD STE E,77072,Restaurant - Full Service,VEGETARIAN,4,MEDIUM
5703247,1/27/15 0:00,1,PASS,OSTIONERIA HUETAMICH,10369 CLUB CREEK,77036,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5721977,1/27/15 0:00,2,PASS,THAI LANNA RESTAURANT,1714 WEST LOOP NORTH,77008,Restaurant - Full Service,THAI,7,HIGH
5700179,1/6/15 0:00,1,PASS,GOLDEN CORRAL RESTAURANT #625,13145 NORTHWEST  FWY,77040,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5700644,1/7/15 0:00,2,PASS,LA MADELEINE FRENCH BAKERY,6205 KIRBY DR,77005,Restaurant - Full Service,FRENCH,8,HIGH
5701388,1/12/15 0:00,1,PASS,CULVER'S OF KINGWOOD,331 NORTHPARK DR,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,0,HIGH
5701693,1/14/15 0:00,2,PASS,CORELLI'S ITALIAN CAFE,5640 WESTHEIMER,77056,Restaurant - Full Service,ITALIAN,7,HIGH
5703009,1/26/15 0:00,1,PASS,DON TEO'S,2026 W 34TH ST N,77018,Restaurant - Full Service,MEXICAN / HISPANIC,5,MEDIUM
5699820,1/2/15 0:00,2,PASS,EXXON RESEARCH CAFETERIA,3120 BUFFALO SPEEDWAY,77027,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5699916,1/2/15 0:00,2,PASS,BREWINGZ,12250 GULF FWY,77089,Restaurant - Full Service,CHICKEN,4,MEDIUM
